순위,제목,가수,가사,장르,발매일,Month
20,METEOR,창모 (CHANGMO),Yeah ha Yeah ha Yeah ha Yeah ha Yeah ha Yeah ha Yeah ha Yeah ha Yeah ha Yeah ha Yeah ha Yeah ha 모두 그에게 말해 또 왔네 새꺄 whut 죽지 않고 왔다 이렇게 새꺄 뭐 Snacky chan의 라인을 빌릴래 했어 예수처럼 이렇게 부활을 031 팔 안쪽의 tatt freaky woah 어젠 시장님이 만나쟤 motown 어수룩해 엄마 속에 걱정 한 톤만큼 쌓고 스물한살에 독립했던 얘는 여섯이 되었고 발견했지 우연히 5년 전의 노트 정말 스타 되고 싶어 그럴려면 가서 만나면 돼 악마 노트를 덮고 거울에 비춰진 남자를 보니 와 저 손목이 너무 부러워 저 금 daydate rollie 넘을걸 천백은 더 전국 사람들이 외치네 저 괴물체는 뭘까 Meteor 거대 Meteor 난 네게 처박힐 Meteor야 별빛이 내려오지 마구 내려오지 경고 경고 그래도 처박힐 Meteor야 motown의 1번 노랠 기억해 니들 뭐였지 뭐였나 음 음 i’m the man in the mirror 그러니 light me up 1절의 그 별이 2절의 그 별이 그래 모두 나였지 실화가 된 동화이지 힘들 때면 홀로 쓴 노래를 불러 환상들을 보던 성냥팔이 소년이였던 나날들이 365 24 730 24에 7 1095 아 그만 세자 1400이 되니 oh 그 애랑도 하고 돔페리뇽이 만든 숙취 땜에 넋을 놓은 나를 향해 몇천 명이 와 해 본 적은 없지만 때론 어떤 존재가 내 인생을 왔다 간 듯해 그냥 그런 느낌이 들지 상관없어 환상이던 현실이던지 hands up high 전국 사람들이 외치네 저 괴물체는 뭘까 Meteor 거대 Meteor 난 네게 처박힐 Meteor야 별빛이 내려오지 마구 내려오지 경고 경고 그래도 처박힐 Meteor야 영 영 영원히 약속해 영원하기로 어둠 가득한 저 뒤로 돌려보내지 말아요 제발 제발 영 영 영원히 난 영원할 거라 믿어 흥분으로 가득차 이 도시에 나 외칠 꺼야 드디어 내가 여 왔다,랩/힙합,2019.11.29,202008
21,덤디덤디 (DUMDi DUMDi),(여자)아이들,뜨거운 태양에 살짝 미친 난 쉽게 두 볼이 빨개지고 그러다 어질어질 달아오른 난 헤엄을 치듯 춤을 추고 음악을 더 크게 더 틀고 싶어 우리 사랑이 안 들리게 안아도 더 가까이 붙고 싶어 닿은 심장이 팡 터지게 바람은 두근대게 또 파도는 쿵쾅대게 저기 드러머처럼 내 마음을 두드려줘 내게 들려줘 이 여름의 그 노래를 Every night every mind every time every sign 어딜 가도 여긴 Tropical night 찌는 날 찌는 밤바다의 칼바람 잊을 수 없이 타오르는 밤 덤디덤디 덤디덤디 덤디덤디 덤디덤디 Turn up my summer 덤디덤디 덤디덤디 덤디덤디 덤디덤디 Turn up my summer Hey drummer 무더위로 높여 Kick & snare는 우리 벽을 녹여 Oh god 흠뻑 젖어버린 속옷 야자수가 흔들리도록 춤 춰 폭죽 펑펑 터지는 축제에 텅텅 머리를 비우고 미친 듯 음악은 Turnt up 첨벙대는 파도의 Beat는 두구 둥 두구 둥 DJ 바람은 삐끼삐끼움 사랑을 더 세게 더 주고 싶어 나의 계절이 느껴지게 이대로 두 눈을 꼭 감고 싶어 태양이 떠도 영원하게 바람은 살랑대게 또 파도는 찰랑대게 저기 댄서들처럼 내 마음을 흔들어줘 내게 들려줘 이 여름의 그 노래를 Every night every mind every time every sign 어딜 가도 여긴 Tropical night 찌는 날 찌는 밤바다의 칼바람 잊을 수 없이 타오르는 밤 덤디덤디 덤디덤디 덤디덤디 덤디덤디 Turn up my summer 덤디덤디 덤디덤디 덤디덤디 덤디덤디 달이 잠들고 여름이 다 식으면 내게 불러줘 뜨거웠던 그때 노래를 Shout it out loud Let’s turn up my summer bae Hit the drum 덤디덤덤 덤디디덤덤 덤디덤덤 덤디디덤덤 덤디덤덤 덤디디덤덤 덤디덤덤 Turn up my summer 덤디덤덤 덤디디덤덤 덤디덤덤 덤디덤덤 덤디디덤덤 덤디덤덤 Turn up my summer,댄스,2020.08.03,202008
22,Blueming,아이유,"‘뭐해?‘라는 두 글자에 ‘네가 보고 싶어’ 나의 속마음을 담아 우 이모티콘 하나하나 속에 달라지는 내 미묘한 심리를 알까 우  아니 바쁘지 않아 nothing no no 잠들어 있지 않아 insomnia nia nia 지금 다른 사람과 함께이지 않아 응, 나도 너를 생각 중  우리의 네모 칸은 bloom 엄지손가락으로 장미꽃을 피워 향기에 취할 것 같아 우 오직 둘만의 비밀의 정원  I feel bloom I feel bloom I feel bloom 너에게 한 송이를 더 보내  밤샘 작업으로 업데이트 흥미로운 이 작품의 지은이 that’s me 우 어쩜 이 관계의 클라이맥스 2막으로 넘어가기엔 지금이 good timing 우  같은 맘인 걸 알아 realize la lize 말을 고르지 말아 just reply la la ly 조금 장난스러운 나의 은유에 네 해석이 궁금해  우리의 색은 gray and blue 엄지손가락으로 말풍선을 띄워 금세 터질 것 같아 우 호흡이 가빠져 어지러워  I feel blue. I feel blue. I feel blue. 너에게 가득히 채워  띄어쓰기없이보낼게사랑인것같애 백만송이장미꽃을, 나랑피워볼래? 꽃잎의 색은 우리 마음 가는 대로 칠해 시들 때도 예쁘게  우리의 네모 칸은 bloom 엄지손가락으로 장미꽃을 피워 향기에 취할 것 같아 우 오직 둘만의 비밀의 정원  I feel bloom I feel bloom I feel bloom 너에게 한 송이를 더 보내",록/메탈,2019.11.18,202008
23,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야 스쳐지나간건가 뒤돌아보지만 그냥 사람들만 보이는거야 다와가는 집근처에서 괜히 핸드폰만 만지는거야 한번 연락해 볼까 용기내 보지만 그냥 내 마음만 아쉬운 거야 걷다가 보면 항상 이렇게 너를 바라만 보던 너를 기다린다고 말할까 지금 집앞에 계속 이렇게 너를 아쉬워 하다 너를 연락했다 할까 지나치는 꽃들 속에서 네 샴푸향만 보이는거야 스쳐지나간건가 뒤 돌아보지만 그냥 내 마음만 바빠진거야 걷다가 보면 항상 이렇게 너를 바라만 보던 너를 기다린다고 말할까 지금 집앞에 계속 이렇게 너를 아쉬워 하다 너를 연락했다 할까 어떤 계절이 너를 우연히라도 너를 마주치게 할까 난 이대로 아쉬워하다 너를 바라만 보던 너를 기다리면서 아무말 못하고 그리워만 할까 걷다가 보면 항상 이렇게 너를 바라만 보던 너를 생각한다고 말할까 지금 집앞에 기다리고 때론 지나치고 다시 기다리는 꽃이 피는 거리에 보고파라 이밤에 걷다가 보면 항상 이렇게 너를 아쉬워 하다 너를 기다린다고 말할까 지금 집앞에 계속 이렇게 너를 아쉬워 하다 너를 연락했다 할까,"록/메탈, 국내드라마",2019.08.23,202008
24,Into the I-LAND,아이유,I got pushed 떠밀려 왔어 오래도 찾아 헤맨 꿈의 문 앞에 내 안에 그 작은 노래가 작은 노래가 날 여기 데려왔어  외로워도 기댈 곳 없이 괴로워도 멈춤 없이 그저 참고 견딘 시간의 의미를  이제야 나 널 만난 후에야 손잡은 후에야 그 이유를 깨달아  Yeah I’m scared 두렵긴 하지만 힘차게 뛰어가 let's just try It’s our chance 수없이 새겨진 지난 발자국이 알아  Woah oh 친구가 되어 함께 걸어줘 Let’s just run for our lives Woah oh 손을 내밀어 그리고 약속해 Let’s just run for our lives  Woah oh 미래의 문이 열리고 약속의 그날이 보여 You & I We can fly 넌 또 다른 나 난 또 다른 너 Let’s just run for our lives  Woah oh 너와 내 꿈의 I-LAND Run for your heart run for your life 너와 내 꿈의 I-LAND Run for your heart run for your life  외로워도 기댈 곳 없이 괴로워도 멈춤 없이 내게 지구는 꼭 무인도 같았어  But right now 넌 지금 내 옆에 지금 내 옆에 함께 달리고 있어  Yeah I’m scared 떨리고 있지만 멈추지 말고 가 let's just try It’s our chance 수없이 새겨진 지난 발자국이 알아  Woah oh 친구가 되어 함께 걸어줘 Let’s just run for our lives Woah oh 손을 내밀어 그리고 약속해 Let’s just run for our lives  Woah oh ‘I’란 섬과 섬 사이 작은 선을 이어서 단단한 다릴 지어 Now I & I & I & I are I-LAND 너와 난 너와 난 너와 난 하나인 거야  너와 내 꿈의 I-LAND Run for your heart run for your life 너와 내 꿈의 I-LAND Run for your heart run for your life  Woah oh 친구가 되어 함께 걸어줘 Let’s just run for our lives Woah oh 손을 내밀어 그리고 약속해 Let’s just run for our lives  Woah oh 꿈은 현실에 꽃피고 꽃은 불꽃 속에 빛나 You & I We can fly 넌 또 다른 나 난 또 다른 너 Let’s just run for our lives  Woah oh Oh Run for your dream,댄스,2020.06.19,202008
25,아무노래,지코 (ZICO),왜들 그리 다운돼있어 뭐가 문제야 say something 분위기가 겁나 싸해 요새는 이런 게 유행인가 왜들 그리 재미없어 아 그건 나도 마찬가지 Tell me what I got to do 급한 대로 블루투스 켜 아무 노래나 일단 틀어 아무거나 신나는 걸로 아무렇게나 춤춰 아무렇지 않아 보이게 아무 생각 하기 싫어 아무개로 살래 잠시 I’m sick and tired of my everyday Keep it up 한 곡 더 아무 노래나 일단 틀어 아무렴 어때 It’s so boring 아무래도 refresh가 시급한 듯해 쌓여가 스트레스가 배꼽 빠질 만큼만 폭소하고 싶은 날이야 What up my dawgs 어디야 너희 올 때 병맥주랑 까까 몇 개 사 와 huh 클럽은 구미가 잘 안 당겨 우리 집 거실로 빨랑 모여 외부인은 요령껏 차단 시켜 밤새 수다 떨 시간도 모자라 누군 힘들어 죽겠고 누군 축제 괜히 싱숭생숭 I want my youth back 좀 전까지 왁자지껄 하다 한 명 두 명씩 자릴 떠 왜들 그리 다운돼있어 뭐가 문제야 say something 분위기가 겁나 싸해 요새는 이런 게 유행인가 왜들 그리 재미없어 아 그건 나도 마찬가지 Tell me what I got to do 급한 대로 블루투스 켜 아무 노래나 일단 틀어 아무거나 신나는 걸로 아무렇게나 춤춰 아무렇지 않아 보이게 아무 생각 하기 싫어 아무개로 살래 잠시 I’m sick and tired of my everyday Keep it up 한 곡 더 떠나질 못할 바엔 창밖은 쳐다도 안 봐 회까닥해서 추태를 부려도 No worries at all 이미지 왜 챙겨 그래 봤자 우리끼린데 Ohh 늦기 전에 막판 스퍼트 20대가 얼마 안 남았어 편한 옷으로 갈아입어 You look nice get’em high 얼핏 보면 그냥 코미디 이렇게 무해한 파티 처음이지 만감이 교차하는 새벽 2시경 술잔과 감정이 소용돌이쳐 왜들 그리 다운돼있어 뭐가 문제야 say something 분위기가 겁나 싸해 요새는 이런 게 유행인가 왜들 그리 재미없어 아 그건 나도 마찬가지 Tell me what I got to do 급한 대로 블루투스 켜 아무 노래나 일단 틀어 아무거나 신나는 걸로 아무렇게나 춤춰 아무렇지 않아 보이게 아무 생각 하기 싫어 아무개로 살래 잠시 I’m sick and tired of my everyday Keep it up 한 곡 더 아무 노래나 일단 아무 노래 아무 노래 아무 노래나 틀어봐 아무 노래 아무 노래 아무 노래나 틀어봐 아무 노래 아무 노래 아무 노래나 틀어봐 아무 노래 아무 노래 아무 노래나 KOZ,랩/힙합,2020.01.13,202008
26,Dynamite,방탄소년단,Cos ah ah I’m in the stars tonight So watch me bring the fire and set the night alight Shoes on get up in the morn Cup of milk let’s rock and roll King Kong kick the drum rolling on like a rolling stone Sing song when I’m walking home Jump up to the top LeBron Ding dong call me on my phone Ice tea and a game of ping pong This is getting heavy Can you hear the bass boom I’m ready Life is sweet as honey Yeah this beat cha ching like money Disco overload I’m into that I’m good to go I'm diamond you know I glow up Hey so let’s go Cos ah ah I’m in the stars tonight So watch me bring the fire and set the night alight Shining through the city with a little funk and soul So I’mma light it up like dynamite woah Bring a friend join the crowd Whoever wanna come along Word up talk the talk just move like we off the wall Day or night the sky’s alight So we dance to the break of dawn Ladies and gentlemen I got the medicine so you should keep ya eyes on the ball huh This is getting heavy Can you hear the bass boom I’m ready Life is sweet as honey Yeah this beat cha ching like money Disco overload I’m into that I’m good to go I'm diamond you know I glow up Let’s go Cos ah ah I’m in the stars tonight So watch me bring the fire and set the night alight Shining through the city with a little funk and soul So I’mma light it up like dynamite woah Dynnnnnanana life is dynamite Dynnnnnanana life is dynamite Shining through the city with a little funk and soul So I’mma light it up like dynamite woah Dynnnnnanana eh Dynnnnnanana eh Dynnnnnanana eh Light it up like dynamite Dynnnnnanana eh Dynnnnnanana eh Dynnnnnanana eh Light it up like dynamite Cos ah ah I’m in the stars tonight So watch me bring the fire and set the night alight Shining through the city with a little funk and soul So I’mma light it up like dynamite Cos ah ah I’m in the stars tonight So watch me bring the fire and set the night alight Shining through the city with a little funk and soul So I’mma light it up like dynamite woah Dynnnnnanana life is dynamite Dynnnnnanana life is dynamite Shining through the city with a little funk and soul So I’mma light it up like dynamite woah,댄스,2020.08.24,202008
27,처음처럼,엠씨더맥스 (M.C the MAX),눈이 부시게 웃던 널 기억해 이제는 다시 볼 수 없게 됐지만 끝내 붙잡았던 기억들만 이 겨울을 지나간다 나지막이 들리지 않게 전하는 기다릴게 이 한마디 대신 피고 진다 뜨겁게 시린 우리 사랑 보내지 못한 계절처럼 피어나 단 한 번도 겨울이 없었던 것처럼 피어나 언제라도 사랑스러운 그대로 추억은 지나버린 계절에 그대로 놓아두고서 그래 처음처럼 가슴속에 켜켜이 쌓은 그리움 이 눈물로 흘려내면 그뿐 이 눈물이 그댈 피워낼 수 있다면 그걸로 나는 괜찮은걸 피어나 단 한 번도 겨울이 없었던 것처럼 피어나 언제라도 사랑스러운 그대로 스치듯 그대 곁에 맴도는 이 작은 한마디조차 여기 남겨두고 아픈 기억은 여기 남기고 피어나 우리 처음 만났던 그때 그대처럼 피어나 사랑했던 그대 모습 그대로 추억은 지나버린 계절에 그대로 놓아두고서 마치 처음처럼,발라드,2020.03.25,202008
28,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),일부러 몇 발자국 물러나 내가 없이 혼자 걷는 널 바라본다 옆자리 허전한 너의 풍경 흑백 거리 가운데 넌 뒤돌아본다 그때 알게 되었어 난 널 떠날 수 없단 걸 우리 사이에 그 어떤 힘든 일도 이별보단 버틸 수 있는 것들이었죠 어떻게 이별까지 사랑하겠어 널 사랑하는 거지 사랑이라는 이유로 서로를 포기하고 찢어질 것같이 아파할 수 없어 난 두세 번 더 길을 돌아갈까 적막 짙은 도로 위에 걸음을 포갠다 아무 말 없는 대화 나누며 주마등이 길을 비춘 먼 곳을 본다 그때 알게 되었어 난 더 갈 수 없단 걸 한 발 한 발 이별에 가까워질수록 너와 맞잡은 손이 사라지는 것 같죠 어떻게 이별까지 사랑하겠어 널 사랑하는 거지 사랑이라는 이유로 서로를 포기하고 찢어질 것같이 아파할 수 없어 난 어떻게 내가 어떻게 너를 이후에 우리 바다처럼 깊은 사랑이 다 마를 때까지 기다리는 게 이별일 텐데 어떻게 내가 어떻게 너를 이후에 우리 바다처럼 깊은 사랑이 다 마를 때까지 기다리는 게 이별일 텐데,발라드,2019.09.25,202008
29,시작,가호 (Gaho),새로운 시작은 늘 설레게 하지 모든 걸 이겨낼 것처럼 시간을 뒤쫓는 시계바늘처럼 앞질러 가고 싶어 하지 그어 놓은 선을 넘어 저마다 삶을 향해 때론 원망도 하겠지 그 선을 먼저 넘지 말라고 I can fly the sky Never gonna stay 내가 지쳐 쓰러질 때까진 어떤 이유도 어떤 변명도 지금 내겐 용기가 필요해 빛나지 않아도 내 꿈을 응원해 그 마지막을 가질 테니 부러진 것처럼 한 발로 뛰어도 난 나의 길을 갈 테니까 지금 나를 위한 약속 멈추지 않겠다고 또 하나를 앞지르면 곧 너의 뒤를 따라잡겠지 원하는 대로 다 가질 거야 그게 바로 내 꿈일 테니까 변한 건 없어 버티고 버텨 내 꿈은 더 단단해질 테니 다시 시작해 Ah ah ah ah ah Ah ah ah ah ah ah Ah ah ah ah ah Ah ah ah ah 다시는 나를 잃고 싶지 않아 내 전부를 걸었으니까 원하는 대로 다 가질 거야 그게 바로 내 꿈일 테니까 변한 건 없어 버티고 버텨 내 꿈은 더 단단해질 테니 다시 시작해 Ah ah ah ah ah Ah ah ah ah ah ah Ah ah ah ah ah Ah ah ah ah,"록/메탈, 국내드라마",2020.02.01,202008
30,사랑은 지날수록 더욱 선명하게 남아,전상근,편해지고 변해가고 자연스러운 그런 과정 시도 때도 없이 다투면서 불안해진 마음 더는 멀어지기 싫은데 말 못 했던 얘기들을 말해봐도 너의 한숨뿐 쌓여왔던 오해가 깊어져 나도 지쳤는데 너는 아무 말이 없었어 사랑은 지날수록 더욱 선명하게 남아 우리의 감정이 모자라서 그랬었나 봐 이별은 떠나볼수록 다시 깨닫게 해줘서 아름다웠던 우리가 그리운데 문득 지금 생각이 나 무슨 이유인지 모르겠어 아마도 널 사랑한 기억이 감싸고 있나 봐 너는 또 아무 말 없지만 사랑은 지날수록 더욱 선명하게 남아 우리의 감정이 모자라서 그랬었나 봐 이별은 떠나볼수록 다시 깨닫게 해줘서 아름다웠던 우리가 그리운데 끝난 인연을 난 왜 이러는지 가끔 한 번씩은 마주쳐줄래 그렇게 해줘 그렇게 하면 아주 조금은 괜찮을 거 같아 사랑은 지날수록 더욱 흩어지지 않아 좋았던 시간이 가득해서 그런 건가 봐 이별의 시린 날들은 다시 깨닫게 해줘서 아름다웠던 그때가 그리운데,발라드,2020.06.07,202008
31,MORE & MORE,TWICE (트와이스),I know I want it 입에 바른 소린 이제 그만할게 Cause I deserve it deserve it 혹시 잠깐 내가 미워지더라도 걱정 안 할게 Cause I know you I know you  내 눈을 자꾸 피해봐 네 맘을 자꾸 숨겨봐 나에게서 도망쳐봐 No no 감았던 눈을 떴을 때 문득 내가 떠오를 때 You are gonna be mine again  You're gonna say more more more more more and more 멈추지 못해 More more more and more 그러니 한 번 더 I wanna have more more more more more and more 멈추기 싫어 More more more and more 그러니 한 번 더  멈추지를 못해 More and more 그러니 한 번 더 멈추기가 싫어 More and more 그러니 한 번 더  Do you feel me 니가 날 위한 사람이라고 믿니 Only for me only for me 간지러운 말은 굳이 하지 않아도 넌 Cause you know me you know me  네 귀를 자꾸 막아도 나를 멀리 밀어내도 나에게서 멀어져도 (저 멀리) No no 내가 다시 널 부르면 나의 목소릴 들으면 You are gonna be mine again Yeah 한 번 더  You're gonna say more more more more more and more 멈추지 못해 More more more and more 그러니 한 번 더 I wanna have more more more more more and more 멈추기 싫어 More more more and more 그러니 한 번 더  멈추지를 못해 More and more 그러니 한 번 더 멈추기가 싫어 More and more 그러니 한 번 더  난 원래 욕심쟁이 몰랐다면 미안 사과는 미리 할게 Cuz I want you more more 의견은 필요 없어 훔칠 거야 네 맘 내게 홀리게 될걸 You can't say no no 난 도둑고양이 오늘만은 널 꼭 잡으러 왔으니까 딱 기다려 너 멀리 가지 말고 다시 내게 Come come Yeah 한 번 더  멈추지를 못해 More and more 그러니 한 번 더 멈추기가 싫어 More and more 그러니 한 번 더,댄스,2020.06.01,202008
32,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단,모든 게 궁금해 How’s your day Oh tell me 뭐가 널 행복하게 하는지 Oh text me Your every picture 내 머리맡에 두고 싶어 oh bae Come be my teacher 네 모든 걸 다 가르쳐줘 Your 1 your 2 Listen my my baby 나는 저 하늘을 높이 날고 있어 그때 니가 내게 줬던 두 날개로 이제 여긴 너무 높아 난 내 눈에 널 맞추고 싶어 Yeah you makin’ me a boy with luv Oh my my my oh my my my I've waited all my life 네 전부를 함께하고 싶어 Oh my my my oh my my my Looking for something right 이제 조금은 나 알겠어 I want something stronger Than a moment than a moment love I have waited longer For a boy with For a boy with luv 널 알게 된 이후 ya 내 삶은 온통 너 ya 사소한 게 사소하지 않게 만들어버린 너라는 별 하나부터 열까지 모든 게 특별하지 너의 관심사 걸음걸이 말투와 사소한 작은 습관들까지 다 말하지 너무 작던 내가 영웅이 된 거라고 Oh nah 난 말하지 운명 따윈 처음부터 내 게 아니었다고 Oh nah 세계의 평화 No way 거대한 질서 No way 그저 널 지킬 거야 난 Boy with luv Listen my my baby 나는 저 하늘을 높이 날고 있어 그때 니가 내게 줬던 두 날개로 이제 여긴 너무 높아 난 내 눈에 널 맞추고 싶어 Yeah you makin’ me a boy with luv Oh my my my oh my my my You got me high so fast 네 전부를 함께하고 싶어 Oh my my my oh my my my You got me fly so fast 이제 조금은 나 알겠어 Love is nothing stronger Than a boy with luv Love is nothing stronger Than a boy with luv 툭 까놓고 말할게 나도 모르게 힘이 들어가기도 했어 높아버린 sky 커져버린 hall 때론 도망치게 해달라며 기도했어 But 너의 상처는 나의 상처 깨달았을 때 나 다짐했던 걸 니가 준 이카루스의 날개로 태양이 아닌 너에게로 Let me fly Oh my my my oh my my my I've waited all my life 네 전부를 함께하고 싶어 Oh my my my oh my my my Looking for something right 이제 조금은 나 알겠어 I want something stronger Than a moment than a moment love Love is nothing stronger Than a boy with luv,댄스,2019.04.12,202008
33,늦은 밤 너의 집 앞 골목길에서,노을,오래되었어 그때 너의 웃음 너의 목소리 잊혀진거 같아 시간의 위로 그 말의 의미를 이젠 알아 아픈 니 얘기도 적당히 할 수 있어 그런데 이게 뭐랄까 난 난 술 한잔하면서 괜찮은 듯 얘기하며 널 털어냈는데 집으로 돌아오면서 한 번 더 떠오른 기억에 걸음을 멈춰 서서 이렇게 울고 있어 자연스럽게 발걸음을 돌려 나 바래다주던 익숙한 길을 가 밤이 깊어져서 아무것도 보이지 않아도 손을 흔들면서 인사하던 널 봤어 그런데 이게 뭐랄까 난 난 술 한잔하면서 괜찮은 듯 얘기하며 널 털어냈는데 집으로 돌아오면서 한 번 더 떠오른 기억에 걸음을 멈춰 서서 이렇게 울고 있어 아무도 없어서 참 다행이야 나 이렇게 편안히 너를 부를 수 있는 걸 외로운 위로겠지만 그래서 이젠 뭘 할까 난 난 널 생각했어도 괜찮은 듯 얘기하며 다 지워냈는데 집으로 돌아오면서 한 번 더 떠오른 추억에 걸음을 멈춰 서서 또다시 울고 있어,발라드,2019.11.07,202008
34,PLAY (Feat. 창모),청하,너무 위험한 이 느낌은 baby I wonder how you feel 아찔 계속된 이 끌림은 baby 나 왠지 모르게 선명해 넌 다른 색 네 손끝에 난 You’re holdin' in my heart 깜빡 눈을 떴을 땐 이미 baby 넌 나와 춤을 춰 아직도 시선이 흔들려 맘의 소리 Let me know 갈수록 빨라지는 내 안 초침 소리 나를 더 oh 뜨거워진 그 눈빛 감추지 마 Just blow your mind 거칠어진 네 숨결 느껴 And I can't take no more 아무도 몰래 너와 나 We gonna play play play 불을 붙여 Oh That’s my way way way Do it for me Uh that’s my bae Play play play you on repeat 점점 더 아찔 해져가는 춤을 원해 더 your love Don’t set me free I’m ma play you on repeat Girl I thought you my remedy 헌데 맘의 불꽃이 너무 커져 넘어버린 듯해 현재 위험수위 I’m out of control 넌 직감을 믿니 난 믿으려고 후회란 젊음에게는 사치 못 벗어나 어제도 I played you on repeat 시계를 볼 때면 늘 벌써 열두시 쉿 쉿 쉿 쉿 단둘이 stay tonight 말 안 해도 I know you feel this vibe 아직도 시선이 흔들려 맘의 소리 Let me know 하나로 만들어진 우리 연결고리 멈추지 마 나를 더 oh 뜨거워진 두 눈빛 감추지 마 Just blow your mind 거칠어진 네 숨결 느껴져 And I can't take no more 아무도 몰래 너와 나 We gonna play play play 불을 붙여 Oh That’s my way way way Do it for me Uh that’s my bae Play play play you on repeat 점점 더 아찔 해져가는 춤을 원해 더 your love Don’t set me free I’m ma play you on repeat Playayay you on repeat I know I can make you dance Playayay you on repeat 모든 순간 널 향해 play I’ll play you on repeat 아무도 몰래 너와 나 We gonna play play play 불을 붙여 Oh That’s my way way way Do it for me Uh that’s my bae Play play play you on repeat 점점 더 아찔 해져가는 춤을 원해 더 your love Don’t set me free I’m ma play you on repeat Hey Play play play you on repeat I’m ma play you on repeat,댄스,2020.07.06,202008
35,좋은 사람 있으면 소개시켜줘,조이 (JOY),좋은 사람 있으면 소개시켜줘 때로는 물처럼 때로는 불처럼 진심으로 나만을 사랑할 수 있는 성숙하고 성실한 사람이라면 좋겠어 좋은 사람 있으면 소개시켜줘 사랑에도 연습은 있는 거기에 아주 조그만 일에도 신경을 써주는 사랑 경험이 많은 사람이라면 좋겠어 한번쯤은 실연에 울었었던 눈이 고운 사람 품에 안겨서 뜨겁게 위로받고 싶어 혼자임에 지쳤던 내 모든걸 손이 고운 사람에게 맡긴 채 외로움을 잊을 수 있다면 좋은 사람 있으면 소개시켜줘 만남 그 자체에 연연하기보다 한번을 만나더라도 그 때 분위기에 최선을 다하려는 사람이라면 좋겠어 나에겐 아픈 상처가 있는데 과거가 없는 사람은 부담스러워 한번쯤은 실연에 울었었던 눈이 고운 사람 품에 안겨서 뜨겁게 위로받고 싶어 혼자임에 지쳤던 내 모든걸 손이 고운 사람에게 맡긴 채 외로움을 잊을 수 있다면 겨울이라 날씨가 추웠을까 팔짱끼는 연인들의 모습에 나의 눈이 왜 시려울까 한땐 나도 저런 때 있었다며 새로운 사람이 그리운걸까 옛사람이 그리워진걸까 옛사람이 그리워진걸까,"발라드, 국내드라마",2020.03.20,202008
36,나비와 고양이 (feat.백현 (BAEKHYUN)),볼빨간사춘기,나를 보면 숨어요 어디든 자유롭게 날아요 이 날씨도 그댈 위한 거예요 난 너를 찾아요 그러면 그댄 어디든 있어요 내 손 위에 머물러 잠시 앉아 쉬어요 몰래몰래 그대를 보아요 사랑스런 날개 그댄 어디서 온 건가요 말하지 못한 채 나 손을 뻗어요 보랏빛 날개 그대는 달아요 내 맘이 그런 것처럼 그대 맘이 그런 것처럼 yeah 나를 보면 숨어요 어디든 자유롭게 날아요 이 날씨도 그댈 위한 거예요 난 너를 찾아요 그러면 그댄 어디든 있어요 내 손 위에 머물러 잠시 앉아 쉬어요 가만히 난 몰래몰래 그대를 보아요 사랑스런 날개 그댄 어디서 온 건가요 말하지 못한 채 나 손을 뻗어요 보랏빛 날개 그대는 달아요 내 맘이 그런 것처럼 그대 맘이 그런 것처럼 yeah 나를 보면 숨어요 어디든 자유롭게 날아요 이 날씨도 그댈 위한 거예요 난 너를 찾아요 그러면 그댄 어디든 있어요 내 손 위에 머물러 잠시 앉아 쉬어요 설렘이 가득하죠 이 날씨도 그 기분까지도 난 너를 찾아요 그러면 그댄 어디든 있어요 내 손 위에 머물러 잠시 앉아 쉬어요 내 어깨에 기대어 잠시 눈을 감아요,"인디음악, 포크/블루스",2020.05.13,202008
